ID	SENDER	RECEIVER	PERIODIC
RKP1	AN	KS	1
RKP1	AN	OR	1
RKP1	AN	PR	1
RKP3	BP	KS	1
RKP3	BP	OR	1
RKP3	BP	PR	1
RKP5	CR	OR	1
RKP5	CR	PR	1
RKP1	EM	KS	1
RKP3	KS	KS	1
RKP3	KS	OR	1
RKP3	KS	PR	1
RKP2	NN	KS	1
RKP4	NN	KS	1
RKP4	NN	OR	1
RKP4	NN	PR	1
RKP1	VR	BP	1
RKP1	VR	KS	1
RKP1	VR	OR	1
RKP1	VR	PR	1
COIN	AN	AN	1
COIN	AN	BA	1
COIN	AN	DB	1
COIN	AN	FA	1
COIN	AN	GL	1
COIN	AN	IM	1
COIN	AN	IP	1
COIN	AN	IV	1
COIN	AN	IW	1
COIN	AN	KR	1
COIN	AN	KS	1
COIN	AN	NP	1
COIN	AN	OR	1
COIN	AN	PR	1
COIN	BA	AN	1
COIN	BA	BA	1
COIN	BA	DB	1
COIN	BA	FA	1
COIN	BA	GL	1
COIN	BA	IM	1
COIN	BA	IP	1
COIN	BA	IV	1
COIN	BA	IW	1
COIN	BA	KR	1
COIN	BA	NP	1
COIN	BA	OR	1
COIN	BA	PR	1
RKL	BP	KS	1
RKL	BP	OR	1
RKL	BP	PR	1
COIN	CR	OR	1
COIN	CR	PR	1
COIN	DB	AN	1
COIN	DB	BA	1
COIN	DB	DB	1
COIN	DB	FA	1
COIN	DB	GL	1
COIN	DB	IM	1
COIN	DB	IP	1
COIN	DB	IV	1
COIN	DB	IW	1
COIN	DB	KR	1
COIN	DB	NP	1
COIN	DB	OR	1
COIN	DB	PR	1
COIN	EM	KS	1
RKU1	FA	FA	1
RKU3	FA	FA	1
RKU1	FA	IM	1
RKU3	FA	IM	1
RKU1	FA	IP	1
RKU3	FA	IP	1
RKU1	FA	IV	1
RKU3	FA	IV	1
RKU1	FA	IW	1
RKU3	FA	IW	1
RKL	FA	KS	1
RKU1	FA	KS	1
RKU3	FA	KS	1
RKU1	FA	NP	1
RKU3	FA	NP	1
RKU1	FA	OR	1
RKU3	FA	OR	1
RKU1	FA	PR	1
RKU3	FA	PR	1
COIN	GL	AN	1
COIN	GL	BA	1
COIN	GL	DB	1
COIN	GL	FA	1
COIN	GL	GL	1
COIN	GL	IM	1
COIN	GL	IP	1
COIN	GL	IV	1
COIN	GL	IW	1
COIN	GL	KR	1
COIN	GL	NP	1
COIN	GL	OR	1
COIN	GL	PR	1
RKU1	IM	FA	1
RKU3	IM	FA	1
RKU1	IM	IM	1
RKU2	IM	IM	1
RKU3	IM	IM	1
RKU1	IM	IP	1
RKU2	IM	IP	1
RKU3	IM	IP	1
RKU1	IM	IV	1
RKU2	IM	IV	1
RKU3	IM	IV	1
